text,true_label,pred_label
200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,smishing,spam
Thanx 4 sending me home...,ham,spam
"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,children were there with her�.",ham,spam
Me fine..absolutly fine,ham,ham
You have 1 new message. Please call 08715205273,smishing,spam
Saw Guys and Dolls last night with Patrick Swayze it was great,ham,ham
Yes..gauti and sehwag out of odi series.,ham,ham
Well. Balls. Time to make calls,ham,ham
Reverse is cheating. That is not mathematics.,ham,ham
Dear PAYTM customer your Paytm KYC has expired. Contact customer care No-6200992462 immediately. your account will Block within 24 hr. Thank you PAYTM TEAM.,smishing,spam
"Good FRIENDS CaRE for each Other.. CLoSE Friends UNDERSTaND each Other... and TRUE Friends STaY forever beyond words, beyond time. Gud ni8",ham,ham
ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam,spam
Enjoy ur life. . Good night,ham,ham
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham,ham
I have had two more letters from . I will copy them for you cos one has a message for you. Speak soon,ham,ham
Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,spam,spam
Sorry for the delay. Yes masters,ham,spam
Which channel:-):-):):-).,ham,spam
K. Did you call me just now ah?,ham,ham
Well then you have a great weekend!,ham,ham
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",smishing,spam
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,ham,ham
Yo you around? A friend of mine's lookin to pick up later tonight,ham,spam
We walked from my moms. Right on stagwood pass right on winterstone left on victors hill. Address is &lt;#&gt;,ham,spam
"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it",ham,ham
"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",ham,spam
Yes its possible but dint try. Pls dont tell to any one k,ham,spam
"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",smishing,spam
You also didnt get na hi hi hi hi hi,ham,spam
Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.,ham,spam
"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe",ham,ham
Thanks love. But am i doing torch or bold.,ham,ham
Dear we got  &lt;#&gt;  dollars hi hi,ham,spam
Stop the story. I've told him i've returned it and he's saying i should not re order it.,ham,ham
Smith waste da.i wanna gayle.,ham,spam
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,spam,spam
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,smishing,spam
Ok c ü then.,ham,spam
PRIVATE! Your 2004 Account Statement for 07742676564 shows 786 unredeemed Bonus Points. To claim call 08719180249 Identifier Code: 45239 Expires,smishing,spam
S'fine. Anytime. All the best with it.,ham,ham
No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.,ham,ham
You available now? I'm like right around hillsborough &amp;  &lt;#&gt; th,ham,spam
You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,smishing,spam
What is the plural of the noun research?,ham,ham
Convey my regards to him�best wishes..,ham,ham
ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O £250 3 WANT £800,spam,spam
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,smishing,spam
Wat r u doing?,ham,ham
Unless it's a situation where YOU GO GURL would be more appropriate,ham,ham
Do have a nice day today. I love you so dearly.,ham,ham
Maybe you should find something else to do instead???,ham,spam
"Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at",ham,ham
"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",ham,spam
The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?,ham,spam
Waiting in e car 4 my mum lor. U leh? Reach home already?,ham,ham
Still in the area of the restaurant. Ill try to come back soon,ham,ham
And I don't plan on staying the night but I prolly won't be back til late,ham,ham
Now GET RID OFF-Cockroach-Termite-Bedbug-Rats-Any Pest4Best DEALS inPestControlServices/Chemical/Herbal/OdorlessDIAL-N-ASK011-62222222,spam,spam
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch.",ham,ham
Was the farm open?,ham,ham
"(Alert) Your Rbc Royal Bank has been suspended. To unlock your account, click here: http://reac.mobi/@mobile",smishing,spam
Think + da. You wil do.,ham,spam
"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",ham,ham
"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card",ham,spam
"Yes but i dont care! I need you bad, princess!",ham,spam
Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,ham,ham
did u get that message,ham,ham
I donno if they are scorable,ham,ham
"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy",ham,ham
Mm i am on the way to railway,ham,ham
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam,ham
Ok�congrats�,ham,ham
Lol boo I was hoping for a laugh,ham,ham
These won't do. Have to move on to morphine,ham,ham
"Sorry, I'll call later..hv some work..",ham,ham
How much for an eighth?,ham,ham
I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx,ham,ham
PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04,smishing,ham
Lolnice. I went from a fish to ..water.?,ham,ham
U should make a fb list,ham,ham
But i'm really really broke oh. No amount is too small even  &lt;#&gt;,ham,ham
Ok... Help me ask if she's working tmr a not?,ham,ham
Crucify is c not s. You should have told me earlier.,ham,ham
"Dear Customer Your order of 42.84 Euro has been approved if you didnt purchased anything or it you believe an unauthorized person has accessed your account, please access the link below http:/95.141.32.7:81/orders.aspx",smishing,ham
"K, I might come by tonight then if my class lets out early",ham,ham
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only £1.50/week. SavaMob - offers mobile!",smishing,ham
You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,smishing,ham
Ü log off 4 wat. It's sdryb8i,ham,ham
But i have to. I like to have love and arrange.,ham,ham
"Records indicate you were involved in an accident in the last 2.5 years. As such you are entitled to claim compensation, Reply CLAIM for info or STOP to opt out",smishing,ham
Haha... dont be angry with yourself... Take it as a practice for the real thing. =),ham,ham
This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,ham,ham
"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402",spam,ham
"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",ham,ham
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham,ham
Wat happened to the cruise thing,ham,ham
We have all rounder:)so not required:),ham,ham
FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242,spam,ham
"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",smishing,ham
I will come to ur home now,ham,ham
Dont know supports ass and srt i thnk. I think ps3 can play through usb too,ham,ham
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,ham,ham
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,spam,ham
"Meet Top 35 US universities in Delhi at India Habitat Centre Lodhi Road on Nov 8th, 2 to 6 pm for student admission.Entry Free,  details contact 9911489000",spam,ham
"Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!",ham,ham
Hanging out with my brother and his family,ham,ham
FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,spam,ham
What he said is not the matter. My mind saying some other matter is there.,ham,ham
Lol no ouch but wish i'd stayed out a bit longer,ham,ham
"Yo, any way we could pick something up tonight?",ham,ham
"K, if u bored up just come to my home..",ham,ham
Hmm ill have to think about it... ok you're forgiven! =D,ham,ham
Did you try making another butt.,ham,ham
"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",ham,ham
Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-),ham,ham
Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,ham,ham
Also remember the beads don't come off. Ever.,ham,ham
Aight do you still want to get money,ham,ham
ONLY FOR GIRLS BBA/MBA/EXECUTIVE MBA/B.SC.IT/BIO TECH/B.TECH FLEXIBLE TIMINGS GOVT.RECOGNIZED(www.bsaitm.in) JOIN BSAITM VIKASPURI 9873000679/9650354070,spam,ham
How are you with moneY...as in to you...money aint a thing....how are you sha!,ham,ham
Really dun bluff me leh... U sleep early too. Nite...,ham,ham
URGENT: IRELAND GOV has issued a payment of 350 � to all residents as part of its promise to battle COVID 19. Tap here to apply: http://url.ie/17j80,smishing,ham
hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,ham,ham
Din i tell u jus now 420,ham,ham
URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893. ACL03530150PM,smishing,ham
Happy birthday... May u find ur prince charming soon and u stay Happy!!,ham,ham
"Last Chance! Claim ur £350 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ.",smishing,ham
"As usual..iam fine, happy &amp; doing well..:) what about u?",ham,ham
K..k..i'm also fine:)when will you complete the course?,ham,ham
I wil be there with in  &lt;#&gt;  minutes. Got any space,ham,ham
"Final Chance! Claim ur £150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Subs 16",smishing,ham
"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",ham,ham
"Hey , is * rite u put »10 evey mnth is that all?",ham,ham
Are you ok. What happen to behave like this,ham,ham
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile and  FREE camcorder Reply or Call 8000930705,smishing,ham
K go and sleep well. Take rest:-).,ham,ham
GSOH? Good with the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd,spam,ham
Dont you have message offer,ham,ham
"House-Maid is the murderer, coz the man was murdered on  26th January..",ham,ham
Let me know how to contact you. I've you settled in a room. Lets know you are ok.,ham,ham
I borrow ur bag ok.,ham,ham
Dear umma she called me now :-),ham,ham
Where are you call me.,ham,ham
Should I have picked up a receipt or something earlier,ham,ham
In da car park,ham,ham
"Aight , I'll get it later",ham,ham
Wat's da model num of ur phone?,ham,ham
You give us back my id proof and  &lt;#&gt;  rs. We wont allow you to work. We will come to your home within days,ham,ham
Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,ham,ham
Ü eatin later but i'm eatin wif my frens now lei... Ü going home first?,ham,ham
"Sorry, I'll call later..urgent work..",ham,ham
Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,ham,ham
U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,ham,ham
SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,spam,ham
The search 4 happiness is 1 of d main sources of unhappiness! Accept life the way it comes! U will find happiness in every moment u live.,ham,ham
Understand. his loss is my gain :) so do you work? School?,ham,ham
I am in bus on the way to calicut,ham,ham
26th OF JULY,ham,ham
What you need. You have a person to give na.,ham,ham
Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,ham,ham
Havent shopping now lor i juz arrive only,ham,ham
Will you come online today night,ham,ham
Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,ham,ham
U wan 2 haf lunch i'm in da canteen now.,ham,ham
Have a good evening! Ttyl,ham,ham
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd.,spam,ham
Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 7908807538,smishing,ham
One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,ham,ham
No. She's currently in scotland for that.,ham,ham
"The affidavit says  &lt;#&gt;  E Twiggs St, division g, courtroom  &lt;#&gt; , &lt;TIME&gt;  AM. I'll double check and text you again tomorrow",ham,ham
Your free gift is waiting to be collected. Simply call 08718738034,smishing,ham
"Babe, I need your advice",ham,ham
Don know..wait i will check it.,ham,ham
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,smishing,ham
Mmm thats better now i got a roast down me! id b better if i had a few drinks down me 2! Good indian?,ham,ham
"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",ham,ham
i thought we were doing a king of the hill thing there.,ham,ham
Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.,ham,ham
excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,ham,ham
I'm very happy for you babe ! Woo hoo party on dude!,ham,ham
"Say this slowly.? GOD,I LOVE YOU, I NEED YOU.",ham,ham
"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",ham,ham
make that 3! 4  sake?! x,ham,ham
Wen did you get so spiritual and deep. That's great,ham,ham
JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,ham,ham
Ur HMV Quiz cash-balance is currently £500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,spam,ham
Yup... I havent been there before... You want to go for the yoga? I can call up to book,ham,ham
Now i'm going for lunch.,ham,ham
Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,ham,ham
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,ham
Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,ham,ham
Hope you are feeling great. Pls fill me in. Abiola,ham,ham
Well i know Z will take care of me. So no worries.,ham,ham
Huh? 6 also cannot? Then only how many mistakes?,ham,ham
Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,smishing,ham
I take it we didn't have the phone callon Friday. Can we assume we won't have it this year now?,ham,ham
We regret to inform you that your NAB card is now locked. To unlock please update security details at http://www.nabmobile,smishing,ham
Hi where you. You in home or calicut?,ham,ham
U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...,ham,ham
"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",smishing,ham
You made my day. Do have a great day too.,ham,ham
Dear Customer your pyatm wallet Has been booked and hold Your amount please complete your kyc contact customer care 8536074310,smishing,ham
Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,ham,ham
Goodmorning sleeping ga.,ham,ham
Dear how you. Are you ok?,ham,ham
"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night....",ham,ham
U repeat e instructions again. Wat's e road name of ur house?,ham,ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""�Love u dear",ham,ham
"Sorry, I'll call later..I am in a meeting",ham,ham
Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evening and stay blessed,ham,ham
Stop knowing me so well!,ham,ham
She just broke down a list of reasons why nobody's in town and I can't tell if she's being sarcastic or just faggy,ham,ham
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... 'GUESS!!",ham,ham
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,spam,ham
Yup... How ü noe leh...,ham,ham
Ard 4 lor...,ham,ham
Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,ham,ham
"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!",ham,ham
Like a personal sized or what,ham,ham
"Dear V0DAF0NE Customer,You are a 5,00,000 winner of Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 7044518857 Now!",smishing,ham
Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,ham,ham
Missing you too.pray inshah allah,ham,ham
FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,spam,ham
"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",ham,ham
"Like I made him throw up when we were smoking in our friend's car one time, it was awesome",ham,ham
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,ham
He is there. You call and meet him,ham,ham
I liked your new house,ham,ham
Im done. Just studyn in library,ham,ham
May b approve panalam...but it should have more posts..,ham,ham
Ok then I will wait for. Then u talk to me�.,ham,ham
So I pay first lar... Then when is da stock comin...,ham,ham
Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,smishing,ham
You will go to walmart. I.ll stay.,ham,ham
If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,ham,ham
We left already we at orchard now.,ham,ham
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,ham,ham
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",ham,ham
So when do you wanna gym harri,ham,ham
"Yep, at derek's house now, see you Sunday &lt;3",ham,ham
So do you have samus shoulders yet,ham,ham
"Aight, call me once you're close",ham,ham
It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,ham,ham
Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE,spam,ham
"That‘s the thing with apes, u can fight to the death to keep something, but the minute they have it when u let go, thats it!",ham,ham
You got called a tool?,ham,ham
Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday,ham,ham
I just really need shit before tomorrow and I know you won't be awake before like 6,ham,ham
U still painting ur wall?,ham,ham
Apple ID: [BUXCX7GBVwWCcOD Final Notification Your Apple 1D is due to expire today. Prevent this by confirming your Apple ID at�http://verifyapple.uk Apple Inc,smishing,ham
Are you planning to come chennai?,ham,ham
I'm in class. Will holla later,ham,ham
Lmao ok I wont be needing u to do my hair anymore.,ham,ham
I said its okay. Sorry,ham,ham
"Apple has detected an unauthorized sign-in to your Cloud account. If this message goes without reply, Apple will be forced to suspend your account. Please verify this iCloud device by sending your correct Apple ID and password via text message.",smishing,ham
"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything�",ham,ham
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,ham,ham
I went to ur hon lab but no one is there.,ham,ham
"This is one of the days you have a billion classes, right?",ham,ham
Thank u!,ham,ham
Err... Cud do. I'm going to  at 8pm. I haven't got a way to contact him until then.,ham,ham
"Nova Medical Centers, conducts a shoulder Pain clinic on Mar 5th.Consult our renowned shoulder specialists Dr.Mahesh Reddy & Dr.Jatty Call-9686578312,9980295914",spam,ham
"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",spam,ham
There are many company. Tell me the language.,ham,ham
"Sorry, I'll call later�buzy",ham,ham
U come n search tat vid..not finishd..,ham,ham
I think just yourself …Thanks and see you tomo,ham,ham
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? Ileave this topic for now.",ham,ham
"call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,ham
Just got outta class gonna go gym.,ham,ham
Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,ham,ham
Yup ok thanx...,ham,ham
Your brother is a genius,ham,ham
willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,spam,ham
Joy's father is John. Then John is the NAME of Joy's father. Mandan,ham,ham
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham,ham
I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,ham,ham
WE WILL HOLD YOUR PAYTM AMOUNT AFTER SOMETIME COMPLETE YOUR PAYTM KYC PAYTM OFFICE PH 7908807538,smishing,ham
Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,smishing,ham
Didn't you get hep b immunisation in nigeria.,ham,ham
How much is blackberry bold2 in nigeria.,ham,ham
"Haha good to hear, I'm officially paid and on the market for an 8th",ham,ham
PRIVATE! Your 2003 Account Statement for 07808247860 shows 800 un-redeemed S. I. M. points. Call 08719899229 Identifier Code: 40411 Expires 06/11/04,smishing,ham
Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,ham,ham
Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,ham,ham
Yeah I'll try to scrounge something up,ham,ham
Lol for real. She told my dad I have cancer,ham,ham
Ok�that�s fine,ham,ham
How is your schedule next week? I am out of town this weekend.,ham,ham
I uploaded mine to Facebook,ham,ham
"Nationwide has noticed your debit card was recently used on 29-11-2016 15:04:43, at APPLE ONLINE STORE for 1267.00 GBP If not you please urgently call fraud prevention on 03303800231 or Int +443303800231. Do not reply by SMS http://www.Nationwide.co.uk",smishing,ham
"Sorry, I'll call later at 30 mins",ham,ham
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,ham
Is toshiba portege m100 gd?,ham,ham
hanks lotsly!,ham,ham
"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",ham,ham
Same as kallis dismissial in 2nd test:-).,ham,ham
"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",ham,ham
Dad says hurry the hell up,ham,ham
We're finally ready fyi,ham,ham
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470",smishing,ham
Yes. Please leave at  &lt;#&gt; . So that at  &lt;#&gt;  we can leave,ham,ham
"URGENT! Your Mobile number has been awarded with a INR.2,00,000 prize GUARANTEED. Call 7044518857 from land line. Claim 3030. Valid 12hrs only",smishing,ham
